query,_id,_score,name,symbol,ensembl.gene,notfound,ensembl
MIR1302-2HG,ENSG00000243485,26.273949,MIR1302-2 host gene,MIR1302-2HG,ENSG00000243485,False,None
FAM138A,645520,27.062708,family with sequence similarity 138 member A,FAM138A,ENSG00000237613,False,None
OR4F5,79501,25.750221,olfactory receptor family 4 subfamily F member 5,OR4F5,ENSG00000186092,False,None
AL627309.1,None,None,None,None,None,True,None
AL627309.3,None,None,None,None,None,True,None
AL627309.2,None,None,None,None,None,True,None
AL627309.4,None,None,None,None,None,True,None
AL732372.1,None,None,None,None,None,True,None
OR4F29,729759,25.752413,olfactory receptor family 4 subfamily F member 29,OR4F29,ENSG00000284733,False,None
AC114498.1,None,None,None,None,None,True,None
OR4F16,81399,26.271759,olfactory receptor family 4 subfamily F member 16,OR4F16,ENSG00000284662,False,None
AL669831.2,None,None,None,None,None,True,None
AL669831.5,None,None,None,None,None,True,None
FAM87B,400728,27.063152,family with sequence similarity 87 member B,FAM87B,ENSG00000177757,False,None
LINC00115,ENSG00000225880,26.268175,long intergenic non-protein coding RNA 115,LINC00115,ENSG00000225880,False,None
FAM41C,284593,27.063417,family with sequence similarity 41 member C,FAM41C,ENSG00000230368,False,None
AL645608.7,None,None,None,None,None,True,None
AL645608.3,None,None,None,None,None,True,None
AL645608.5,None,None,None,None,None,True,None
AL645608.1,None,None,None,None,None,True,None
SAMD11,148398,17.595556,sterile alpha motif domain containing 11,SAMD11,ENSG00000187634,False,None
NOC2L,26155,17.558527,NOC2 like nucleolar associated transcriptional repressor,NOC2L,ENSG00000188976,False,None
KLHL17,339451,17.562086,kelch like family member 17,KLHL17,ENSG00000187961,False,None
PLEKHN1,84069,17.641787,pleckstrin homology domain containing N1,PLEKHN1,ENSG00000187583,False,None
PERM1,84808,17.987324,"PPARGC1 and ESRR induced regulator, muscle 1",PERM1,ENSG00000187642,False,None
AL645608.8,None,None,None,None,None,True,None
HES4,57801,18.679907,hes family bHLH transcription factor 4,HES4,ENSG00000188290,False,None
ISG15,9636,18.316225,ISG15 ubiquitin like modifier,ISG15,ENSG00000187608,False,None
AL645608.2,None,None,None,None,None,True,None
AGRN,375790,17.562582,agrin,AGRN,ENSG00000188157,False,None
AL645608.9,None,None,None,None,None,True,None
RNF223,401934,17.981783,ring finger protein 223,RNF223,ENSG00000237330,False,None
C1orf159,54991,22.554852,chromosome 1 open reading frame 159,C1orf159,ENSG00000131591,False,None
LINC01342,254099,27.059961,long intergenic non-protein coding RNA 1342,LINC01342,ENSG00000223823,False,None
AL390719.2,None,None,None,None,None,True,None
TTLL10-AS1,100506376,27.063547,TTLL10 antisense RNA 1,TTLL10-AS1,ENSG00000205231,False,None
TTLL10,254173,17.77972,tubulin tyrosine ligase like 10,TTLL10,ENSG00000162571,False,None
TNFRSF18,8784,17.985426,TNF receptor superfamily member 18,TNFRSF18,ENSG00000186891,False,None
TNFRSF4,7293,18.28767,TNF receptor superfamily member 4,TNFRSF4,ENSG00000186827,False,None
SDF4,51150,17.61336,stromal cell derived factor 4,SDF4,ENSG00000078808,False,None
B3GALT6,126792,17.558527,"beta-1,3-galactosyltransferase 6",B3GALT6,ENSG00000176022,False,None
C1QTNF12,388581,17.604353,C1q and TNF related 12,C1QTNF12,ENSG00000184163,False,None
AL162741.1,None,None,None,None,None,True,None
UBE2J2,118424,17.602057,ubiquitin conjugating enzyme E2 J2,UBE2J2,ENSG00000160087,False,None
LINC01786,ENSG00000230415,26.271315,long intergenic non-protein coding RNA 1786,LINC01786,ENSG00000230415,False,None
SCNN1D,6339,18.470451,sodium channel epithelial 1 subunit delta,SCNN1D,ENSG00000162572,False,None
ACAP3,116983,18.193384,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",ACAP3,ENSG00000131584,False,None
PUSL1,126789,17.573877,pseudouridine synthase like 1,PUSL1,ENSG00000169972,False,None
INTS11,54973,17.51933,integrator complex subunit 11,INTS11,ENSG00000127054,False,None
CPTP,80772,17.75985,ceramide-1-phosphate transfer protein,CPTP,ENSG00000224051,False,None
TAS1R3,83756,18.163189,taste 1 receptor member 3,TAS1R3,ENSG00000169962,False,None
DVL1,1855,18.178967,dishevelled segment polarity protein 1,DVL1,ENSG00000107404,False,None
MXRA8,54587,18.176332,matrix remodeling associated 8,MXRA8,ENSG00000162576,False,None
AURKAIP1,54998,17.57926,aurora kinase A interacting protein 1,AURKAIP1,ENSG00000175756,False,None
CCNL2,81669,18.202923,cyclin L2,CCNL2,ENSG00000221978,False,None
MRPL20,55052,17.46981,mitochondrial ribosomal protein L20,MRPL20,ENSG00000242485,False,None
AL391244.3,None,None,None,None,None,True,None
ANKRD65,441869,18.884892,ankyrin repeat domain 65,ANKRD65,ENSG00000235098,False,None
AL391244.2,None,None,None,None,None,True,None
TMEM88B,643965,17.892895,transmembrane protein 88B,TMEM88B,ENSG00000205116,False,None
LINC01770,ENSG00000225285,26.271315,long intergenic non-protein coding RNA 1770,LINC01770,ENSG00000225285,False,None
VWA1,64856,17.634666,von Willebrand factor A domain containing 1,VWA1,ENSG00000179403,False,None
ATAD3C,219293,23.906641,ATPase family AAA domain containing 3C,ATAD3C,ENSG00000215915,False,None
ATAD3B,83858,24.790258,ATPase family AAA domain containing 3B,ATAD3B,ENSG00000160072,False,None
ATAD3A,55210,19.26947,ATPase family AAA domain containing 3A,ATAD3A,ENSG00000197785,False,None
TMEM240,339453,18.180122,transmembrane protein 240,TMEM240,ENSG00000205090,False,None
SSU72,29101,16.512186,"SSU72 homolog, RNA polymerase II CTD phosphatase",SSU72,ENSG00000160075,False,None
AL645728.1,None,None,None,None,None,True,None
FNDC10,643988,17.771803,fibronectin type III domain containing 10,FNDC10,ENSG00000228594,False,None
AL691432.2,None,None,None,None,None,True,None
MIB2,142678,17.530306,MIB E3 ubiquitin protein ligase 2,MIB2,ENSG00000197530,False,None
MMP23B,8510,18.245436,matrix metallopeptidase 23B,MMP23B,ENSG00000189409,False,None
CDK11B,984,18.89549,cyclin dependent kinase 11B,CDK11B,ENSG00000248333,False,None
FO704657.1,None,None,None,None,None,True,None
SLC35E2B,728661,18.804176,solute carrier family 35 member E2B,SLC35E2B,ENSG00000189339,False,None
CDK11A,728642,21.675142,cyclin dependent kinase 11A,CDK11A,ENSG00000008128,False,None
SLC35E2A,ENSG00000215790,7.5946655,solute carrier family 35 member E2A (pseudogene),SLC35E2A,ENSG00000215790,False,None
NADK,65220,17.472921,NAD kinase,NADK,ENSG00000008130,False,None
GNB1,2782,18.130314,G protein subunit beta 1,GNB1,ENSG00000078369,False,None
AL109917.1,None,None,None,None,None,True,None
CALML6,163688,18.900503,calmodulin like 6,CALML6,ENSG00000169885,False,None
TMEM52,339456,18.227768,transmembrane protein 52,TMEM52,ENSG00000178821,False,None
CFAP74,85452,17.645823,cilia and flagella associated protein 74,CFAP74,ENSG00000142609,False,None
AL391845.2,None,None,None,None,None,True,None
GABRD,2563,17.582512,gamma-aminobutyric acid type A receptor subunit delta,GABRD,ENSG00000187730,False,None
AL391845.1,None,None,None,None,None,True,None
PRKCZ,5590,17.641476,protein kinase C zeta,PRKCZ,ENSG00000067606,False,None
AL590822.2,None,None,None,None,None,True,None
PRKCZ-AS1,100506504,25.360682,PRKCZ antisense RNA 1,PRKCZ-AS1,ENSG00000182873,False,None
FAAP20,199990,18.588745,FA core complex associated protein 20,FAAP20,ENSG00000162585,False,None
AL590822.1,None,None,None,None,None,True,None
SKI,6497,18.20358,SKI proto-oncogene,SKI,ENSG00000157933,False,None
MORN1,79906,18.716278,MORN repeat containing 1,MORN1,ENSG00000116151,False,None
RER1,11079,17.44907,retention in endoplasmic reticulum sorting receptor 1,RER1,ENSG00000157916,False,None
PEX10,5192,17.485119,peroxisomal biogenesis factor 10,PEX10,ENSG00000157911,False,None
