query,_id,_score,name,symbol,ensembl.gene,entrezgene,notfound,ensembl
MIR1302-2HG,ENSG00000243485,26.271759,MIR1302-2 host gene,MIR1302-2HG,ENSG00000243485,None,False,None
FAM138A,645520,27.063152,family with sequence similarity 138 member A,FAM138A,ENSG00000237613,645520,False,None
OR4F5,79501,25.752413,olfactory receptor family 4 subfamily F member 5,OR4F5,ENSG00000186092,79501,False,None
AL627309.1,None,None,None,None,None,None,True,None
AL627309.3,None,None,None,None,None,None,True,None
AL627309.2,None,None,None,None,None,None,True,None
AL627309.4,None,None,None,None,None,None,True,None
AL732372.1,None,None,None,None,None,None,True,None
OR4F29,729759,25.746635,olfactory receptor family 4 subfamily F member 29,OR4F29,ENSG00000284733,729759,False,None
AC114498.1,None,None,None,None,None,None,True,None
OR4F16,81399,26.27205,olfactory receptor family 4 subfamily F member 16,OR4F16,ENSG00000284662,81399,False,None
AL669831.2,None,None,None,None,None,None,True,None
AL669831.5,None,None,None,None,None,None,True,None
FAM87B,400728,27.063547,family with sequence similarity 87 member B,FAM87B,ENSG00000177757,400728,False,None
LINC00115,ENSG00000225880,26.271315,long intergenic non-protein coding RNA 115,LINC00115,ENSG00000225880,None,False,None
FAM41C,284593,27.059961,family with sequence similarity 41 member C,FAM41C,ENSG00000230368,284593,False,None
AL645608.7,None,None,None,None,None,None,True,None
AL645608.3,None,None,None,None,None,None,True,None
AL645608.5,None,None,None,None,None,None,True,None
AL645608.1,None,None,None,None,None,None,True,None
SAMD11,148398,17.594423,sterile alpha motif domain containing 11,SAMD11,ENSG00000187634,148398,False,None
NOC2L,26155,17.558527,NOC2 like nucleolar associated transcriptional repressor,NOC2L,ENSG00000188976,26155,False,None
KLHL17,339451,17.56342,kelch like family member 17,KLHL17,ENSG00000187961,339451,False,None
PLEKHN1,84069,17.641476,pleckstrin homology domain containing N1,PLEKHN1,ENSG00000187583,84069,False,None
PERM1,84808,17.985003,"PPARGC1 and ESRR induced regulator, muscle 1",PERM1,ENSG00000187642,84808,False,None
AL645608.8,None,None,None,None,None,None,True,None
HES4,57801,18.679907,hes family bHLH transcription factor 4,HES4,ENSG00000188290,57801,False,None
ISG15,9636,18.324299,ISG15 ubiquitin like modifier,ISG15,ENSG00000187608,9636,False,None
AL645608.2,None,None,None,None,None,None,True,None
AGRN,375790,17.56117,agrin,AGRN,ENSG00000188157,375790,False,None
AL645608.9,None,None,None,None,None,None,True,None
RNF223,401934,17.985003,ring finger protein 223,RNF223,ENSG00000237330,401934,False,None
C1orf159,54991,22.551395,chromosome 1 open reading frame 159,C1orf159,ENSG00000131591,54991,False,None
LINC01342,254099,27.062708,long intergenic non-protein coding RNA 1342,LINC01342,ENSG00000223823,254099,False,None
AL390719.2,None,None,None,None,None,None,True,None
TTLL10-AS1,100506376,27.06384,TTLL10 antisense RNA 1,TTLL10-AS1,ENSG00000205231,100506376,False,None
TTLL10,254173,17.78056,tubulin tyrosine ligase like 10,TTLL10,ENSG00000162571,254173,False,None
TNFRSF18,8784,17.978836,TNF receptor superfamily member 18,TNFRSF18,ENSG00000186891,8784,False,None
TNFRSF4,7293,18.28767,TNF receptor superfamily member 4,TNFRSF4,ENSG00000186827,7293,False,None
SDF4,51150,17.612497,stromal cell derived factor 4,SDF4,ENSG00000078808,51150,False,None
B3GALT6,126792,17.555338,"beta-1,3-galactosyltransferase 6",B3GALT6,ENSG00000176022,126792,False,None
C1QTNF12,388581,17.60321,C1q and TNF related 12,C1QTNF12,ENSG00000184163,388581,False,None
AL162741.1,None,None,None,None,None,None,True,None
UBE2J2,118424,17.601728,ubiquitin conjugating enzyme E2 J2,UBE2J2,ENSG00000160087,118424,False,None
LINC01786,ENSG00000230415,26.271631,long intergenic non-protein coding RNA 1786,LINC01786,ENSG00000230415,None,False,None
SCNN1D,6339,18.465576,sodium channel epithelial 1 subunit delta,SCNN1D,ENSG00000162572,6339,False,None
ACAP3,116983,18.199162,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",ACAP3,ENSG00000131584,116983,False,None
PUSL1,126789,17.57501,pseudouridine synthase like 1,PUSL1,ENSG00000169972,126789,False,None
INTS11,54973,17.512487,integrator complex subunit 11,INTS11,ENSG00000127054,54973,False,None
CPTP,80772,17.757027,ceramide-1-phosphate transfer protein,CPTP,ENSG00000224051,80772,False,None
TAS1R3,83756,18.16633,taste 1 receptor member 3,TAS1R3,ENSG00000169962,83756,False,None
DVL1,1855,18.186708,dishevelled segment polarity protein 1,DVL1,ENSG00000107404,1855,False,None
MXRA8,54587,18.175936,matrix remodeling associated 8,MXRA8,ENSG00000162576,54587,False,None
AURKAIP1,54998,17.581451,aurora kinase A interacting protein 1,AURKAIP1,ENSG00000175756,54998,False,None
CCNL2,81669,18.200174,cyclin L2,CCNL2,ENSG00000221978,81669,False,None
MRPL20,55052,17.46981,mitochondrial ribosomal protein L20,MRPL20,ENSG00000242485,55052,False,None
AL391244.3,None,None,None,None,None,None,True,None
ANKRD65,441869,18.884579,ankyrin repeat domain 65,ANKRD65,ENSG00000235098,441869,False,None
AL391244.2,None,None,None,None,None,None,True,None
TMEM88B,643965,17.892895,transmembrane protein 88B,TMEM88B,ENSG00000205116,643965,False,None
LINC01770,ENSG00000225285,26.27205,long intergenic non-protein coding RNA 1770,LINC01770,ENSG00000225285,None,False,None
VWA1,64856,17.63203,von Willebrand factor A domain containing 1,VWA1,ENSG00000179403,64856,False,None
ATAD3C,219293,23.906641,ATPase family AAA domain containing 3C,ATAD3C,ENSG00000215915,219293,False,None
ATAD3B,83858,24.787115,ATPase family AAA domain containing 3B,ATAD3B,ENSG00000160072,83858,False,None
ATAD3A,55210,19.272217,ATPase family AAA domain containing 3A,ATAD3A,ENSG00000197785,55210,False,None
TMEM240,339453,18.182314,transmembrane protein 240,TMEM240,ENSG00000205090,339453,False,None
SSU72,29101,16.594437,"SSU72 homolog, RNA polymerase II CTD phosphatase",SSU72,ENSG00000160075,29101,False,None
AL645728.1,None,None,None,None,None,None,True,None
FNDC10,643988,17.775259,fibronectin type III domain containing 10,FNDC10,ENSG00000228594,643988,False,None
AL691432.2,None,None,None,None,None,None,True,None
